sku,product_name,product_category,product_subcategory,image_file,image_path,cdn_path,image_url,match_type,assignment_source
CAS-MENU-TUTO-ASADO,Tuto Asado,casera,menu,tuto-asado.webp,imagenes-yakero/casera/menu/tuto-asado.png,products/casera/menu/tuto-asado.webp,https://cdn.yakero.cl/products/casera/menu/tuto-asado.webp,name_exact,audit_csv
POST-ALFAJOR,Alfajor,casera,postre,alfajor.webp,imagenes-yakero/postres/alfajor.png,products/postres/general/alfajor.webp,https://cdn.yakero.cl/products/postres/general/alfajor.webp,name_exact,audit_csv
POST-ALFAJOR-MENDO,Alfajor Mendocino,casera,postre,alfajor_mendocino.webp,imagenes-yakero/postres/alfajor_mendocino.png,products/postres/general/alfajor_mendocino.webp,https://cdn.yakero.cl/products/postres/general/alfajor_mendocino.webp,name_exact,audit_csv
POST-PALMERA,Palmera,casera,postre,palmeras.webp,imagenes-yakero/postres/palmeras.png,products/postres/general/palmeras.webp,https://cdn.yakero.cl/products/postres/general/palmeras.webp,partial_candidate,audit_csv
POST-PIE-LIMON,Pie de Limón,casera,postre,pie_limon.webp,imagenes-yakero/postres/pie_limon.png,products/postres/general/pie_limon.webp,https://cdn.yakero.cl/products/postres/general/pie_limon.webp,partial_candidate,audit_csv
POST-QUEQUE,Queque,casera,postre,queque.webp,imagenes-yakero/postres/queque.png,products/postres/general/queque.webp,https://cdn.yakero.cl/products/postres/general/queque.webp,name_exact,audit_csv
SAND-ASS-CHAC,Ass Chacarero,sandwich,Ass,ass_chacarero.webp,imagenes-yakero/sandwich/ass/ass_chacarero.png,products/sandwich/ass/ass_chacarero.webp,https://cdn.yakero.cl/products/sandwich/ass/ass_chacarero.webp,name_exact,audit_csv
SAND-ASS-COMP,Ass Completo,sandwich,Ass,ass_completo.webp,imagenes-yakero/sandwich/ass/ass_completo.png,products/sandwich/ass/ass_completo.webp,https://cdn.yakero.cl/products/sandwich/ass/ass_completo.webp,name_exact,audit_csv
SAND-ASS-DINA,Ass Dinámico,sandwich,Ass,ass_dinamico.webp,imagenes-yakero/sandwich/ass/ass_dinamico.png,products/sandwich/ass/ass_dinamico.webp,https://cdn.yakero.cl/products/sandwich/ass/ass_dinamico.webp,name_exact,audit_csv
SAND-ASS-ITAL,Ass Italiano,sandwich,Ass,ass_italiano.webp,imagenes-yakero/sandwich/ass/ass_italiano.png,products/sandwich/ass/ass_italiano.webp,https://cdn.yakero.cl/products/sandwich/ass/ass_italiano.webp,name_exact,audit_csv
SAND-ASS-LUCO-CHAM,"Ass Luco, Champiñón",sandwich,Ass,ass_luco_champinon.webp,imagenes-yakero/sandwich/ass/ass_luco_champinon.png,products/sandwich/ass/ass_luco_champinon.webp,https://cdn.yakero.cl/products/sandwich/ass/ass_luco_champinon.webp,name_exact,audit_csv
SAND-CHUR-CHAC,Churrasco Chacarero,sandwich,Churrasco,sandwich-churrasco-chacarero.webp,imagenes-yakero/sandwich/sandwich churrasco/sandwich-churrasco-chacarero.png,products/sandwich/sandwich-churrasco/sandwich-churrasco-chacarero.webp,https://cdn.yakero.cl/products/sandwich/sandwich-churrasco/sandwich-churrasco-chacarero.webp,partial_candidate,audit_csv
SAND-CHUR-COMP,Churrasco Completo,sandwich,Churrasco,sandwich-churrasco-completo.webp,imagenes-yakero/sandwich/sandwich churrasco/sandwich-churrasco-completo.png,products/sandwich/sandwich-churrasco/sandwich-churrasco-completo.webp,https://cdn.yakero.cl/products/sandwich/sandwich-churrasco/sandwich-churrasco-completo.webp,partial_candidate,audit_csv
SAND-CHUR-DINA,Churrasco Dinámico,sandwich,Churrasco,sandwich-churrasco-dinamico.webp,imagenes-yakero/sandwich/sandwich churrasco/sandwich-churrasco-dinamico.png,products/sandwich/sandwich-churrasco/sandwich-churrasco-dinamico.webp,https://cdn.yakero.cl/products/sandwich/sandwich-churrasco/sandwich-churrasco-dinamico.webp,partial_candidate,audit_csv
SAND-CHUR-ITAL,Churrasco Italiano,sandwich,Churrasco,sandwich-churrasco-italiano.webp,imagenes-yakero/sandwich/sandwich churrasco/sandwich-churrasco-italiano.png,products/sandwich/sandwich-churrasco/sandwich-churrasco-italiano.webp,https://cdn.yakero.cl/products/sandwich/sandwich-churrasco/sandwich-churrasco-italiano.webp,partial_candidate,audit_csv
SAND-CHUR-LUCO-CHAM,"Churrasco Luco, Champiñón",sandwich,Churrasco,sandwich-churrasco-luco-champinon.webp,imagenes-yakero/sandwich/sandwich churrasco/sandwich-churrasco-luco-champinon.png,products/sandwich/sandwich-churrasco/sandwich-churrasco-luco-champinon.webp,https://cdn.yakero.cl/products/sandwich/sandwich-churrasco/sandwich-churrasco-luco-champinon.webp,partial_candidate,audit_csv
SAND-CHUR-SOLO,Churrasco Solo,sandwich,Churrasco,churrasco_solo.webp,imagenes-yakero/sandwich/sandwich churrasco/churrasco_solo.png,products/sandwich/sandwich-churrasco/churrasco_solo.webp,https://cdn.yakero.cl/products/sandwich/sandwich-churrasco/churrasco_solo.webp,name_exact,audit_csv
SAND-LOM-CHAC,Lomo Chacarero,sandwich,Lomo,sandwich-lomo-chacarero.webp,imagenes-yakero/sandwich/sandwich lomo/sandwich-lomo-chacarero.png,products/sandwich/sandwich-lomo/sandwich-lomo-chacarero.webp,https://cdn.yakero.cl/products/sandwich/sandwich-lomo/sandwich-lomo-chacarero.webp,partial_candidate,audit_csv
SAND-LOM-COMP,Lomo Completo,sandwich,Lomo,sandwich-lomo-completo.webp,imagenes-yakero/sandwich/sandwich lomo/sandwich-lomo-completo.png,products/sandwich/sandwich-lomo/sandwich-lomo-completo.webp,https://cdn.yakero.cl/products/sandwich/sandwich-lomo/sandwich-lomo-completo.webp,partial_candidate,audit_csv
SAND-LOM-DINA,Lomo Dinámico,sandwich,Lomo,sandwich-lomo-dinamico.webp,imagenes-yakero/sandwich/sandwich lomo/sandwich-lomo-dinamico.png,products/sandwich/sandwich-lomo/sandwich-lomo-dinamico.webp,https://cdn.yakero.cl/products/sandwich/sandwich-lomo/sandwich-lomo-dinamico.webp,partial_candidate,audit_csv
SAND-LOM-ITAL,Lomo Italiano,sandwich,Lomo,sandwich-lomo-italiano.webp,imagenes-yakero/sandwich/sandwich lomo/sandwich-lomo-italiano.png,products/sandwich/sandwich-lomo/sandwich-lomo-italiano.webp,https://cdn.yakero.cl/products/sandwich/sandwich-lomo/sandwich-lomo-italiano.webp,partial_candidate,audit_csv
SAND-LOM-LUCO-CHAM,"Lomo Luco, Champiñón",sandwich,Lomo,lomo_luco_champinon.webp,imagenes-yakero/sandwich/sandwich lomo/lomo_luco_champinon.png,products/sandwich/sandwich-lomo/lomo_luco_champinon.webp,https://cdn.yakero.cl/products/sandwich/sandwich-lomo/lomo_luco_champinon.webp,name_exact,audit_csv
SAND-SALCH-GRA,Salchipapas Grande,sandwich,Papas Fritas,salchipapas.webp,imagenes-yakero/sandwich/papas fritas/salchipapas.png,products/sandwich/papas-fritas/salchipapas.webp,https://cdn.yakero.cl/products/sandwich/papas-fritas/salchipapas.webp,partial_candidate,audit_csv
SAND-SALCH-IND,Salchipapas Individual,sandwich,Papas Fritas,salchipapas.webp,imagenes-yakero/sandwich/papas fritas/salchipapas.png,products/sandwich/papas-fritas/salchipapas.webp,https://cdn.yakero.cl/products/sandwich/papas-fritas/salchipapas.webp,partial_candidate,audit_csv
SAND-SALCH-MED,Salchipapas Mediana,sandwich,Papas Fritas,salchipapas.webp,imagenes-yakero/sandwich/papas fritas/salchipapas.png,products/sandwich/papas-fritas/salchipapas.webp,https://cdn.yakero.cl/products/sandwich/papas-fritas/salchipapas.webp,partial_candidate,audit_csv
SAND-SUPR-CAR-CHOR-CEB-HUE-GRA,"Suprema Grande de Carne, Chorizo, Cebolla y Huevo Frito.",sandwich,Papas Fritas,sand-supr-car-chor-ceb-hue-gra-med-ind.webp,imagenes-yakero/sandwich/papas fritas/SAND-SUPR-CAR-CHOR-CEB-HUE-GRA-MED-IND.png,products/sandwich/papas-fritas/sand-supr-car-chor-ceb-hue-gra-med-ind.webp,https://cdn.yakero.cl/products/sandwich/papas-fritas/sand-supr-car-chor-ceb-hue-gra-med-ind.webp,suprema_1_to_n,audit_csv
SAND-SUPR-CAR-CHOR-CEB-HUE-IND,"Suprema Individual de Carne, Chorizo, Cebolla y Huevo Frito.",sandwich,Papas Fritas,sand-supr-car-chor-ceb-hue-gra-med-ind.webp,imagenes-yakero/sandwich/papas fritas/SAND-SUPR-CAR-CHOR-CEB-HUE-GRA-MED-IND.png,products/sandwich/papas-fritas/sand-supr-car-chor-ceb-hue-gra-med-ind.webp,https://cdn.yakero.cl/products/sandwich/papas-fritas/sand-supr-car-chor-ceb-hue-gra-med-ind.webp,suprema_1_to_n,audit_csv
SAND-SUPR-CAR-CHOR-CEB-HUE-MED,"Suprema Mediana de Carne, Chorizo, Cebolla y Huevo Frito.",sandwich,Papas Fritas,sand-supr-car-chor-ceb-hue-gra-med-ind.webp,imagenes-yakero/sandwich/papas fritas/SAND-SUPR-CAR-CHOR-CEB-HUE-GRA-MED-IND.png,products/sandwich/papas-fritas/sand-supr-car-chor-ceb-hue-gra-med-ind.webp,https://cdn.yakero.cl/products/sandwich/papas-fritas/sand-supr-car-chor-ceb-hue-gra-med-ind.webp,suprema_1_to_n,audit_csv
